sname,District_Name,Crop_Year,cseason,Crop,Area,production,ratio_of_production,label
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Tapioca,254.5,1480.0,0.09437571738298686,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Turmeric,81.7,572.0,0.03647493942099222,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Kharif     ,Rice,921.87,2539.64,0.16194618033414104,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Arecanut,2000.0,2350.0,0.14985333503379672,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Banana,483.0,4150.0,0.26463461293202395,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Black pepper,413.1,20.18,0.001286825659992348,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Cashewnut,79.5,26.0,0.0016579517918632828,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Coconut ,3483.09,14190000.0,904.8590740976916,2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Dry chillies,124.6,34.7,0.002212727968371381,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Dry ginger,100.9,900.0,0.057390638949113636,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,other oilseeds,24.0,14.98,0.0009552353016196914,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Sugarcane,53.5,999.5,0.0637354929218212,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Sweet potato,30.4,220.0,0.014028822854227777,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Tapioca,40.0,160.0,0.010202780257620201,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Turmeric,10.0,60.0,0.0038260425966075754,1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Autumn     ,Rice,1595.5,3788.0,0.24155082259915828,1
